tableName,tableExtends,columnName,columnType,key,required,refTable,refLink,refBack,validation,semantics,description
Version,,,,,,,,,,,2.1
InstitutionTypes,OntologyTerms,,,,,,,,,,
OntologyTerms,,,,,,,,,,,OntologyTerm table is superclass for all stuff that links to ontology terms
OntologyTerms,,name,,1,TRUE,,,,,,
OntologyTerms,,code,,2,,,,,,,identifier used for this code with the ontology
OntologyTerms,,order,int,,,,,,,,
OntologyTerms,,definition,text,,,,,,,,
OntologyTerms,,comments,text,,,,,,,,
OntologyTerms,,parent,ref,,,OntologyTerms,,,,,link to a more broad term
OntologyTerms,,ontologyTermURI,,3,,,,,,,
OntologyTerms,,children,refback,,,OntologyTerms,,parent,,,link to more specific terms
AreasOfInformation,OntologyTerms,,,,,,,,,,
Vocabularies,OntologyTerms,,,,,,,,,,
CohortDesigns,OntologyTerms,,,,,,,,,,
CollectionTypes,OntologyTerms,,,,,,,,,,
SampleCategories,OntologyTerms,,,,,,,,,,
DataCategories,OntologyTerms,,,,,,,,,,
Diseases,OntologyTerms,,,,,,,,,,
DataAccessConditions,OntologyTerms,,,,,,,,,,
DataUseConditions,OntologyTerms,,,,,,,,,,
ContributionTypes,OntologyTerms,,,,,,,,,,
DocumentTypes,OntologyTerms,,,,,,,,,,
Formats,OntologyTerms,,,,,,,,,,
InclusionCriteria,OntologyTerms,,,,,,,,,,
Keywords,OntologyTerms,,,,,,,,,,Used to generate the tree on the left; we might want to make multiple trees?
Data,OntologyTerms,,,,,,,,,,Used to generate the tree on the left; we might want to make multiple trees?
ObservationTargets,OntologyTerms,,,,,,,,,,
PartnerRoles,OntologyTerms,,,,,,,,,,
Prompts,OntologyTerms,,,,,,,,,,
Regions,OntologyTerms,,,,,,,,,,"Parts of countries, states, provinces and other geographic areas (e.g. using ISO_3166)"
ReleaseTypes,OntologyTerms,,,,,,,,,,
ResourceTypes,OntologyTerms,,,,,,,,,,
ResourceTypes,,originator,,,,,,,,,
ResourceTypes,,collectingOrganizations,,,,,,,,,
ResourceTypes,,recordPrompt,text,,,,,,,,
ResourceTypes,,typicalContent,text,,,,,,,,
ResourceTypes,,lessCommonContent,text,,,,,,,,
Status,OntologyTerms,,,,,,,,,,
StatusDetails,OntologyTerms,,,,,,,,,,
Units,OntologyTerms,,,,,,,,,,
Countries,OntologyTerms,,,,,,,,,,
PopulationSubsets,OntologyTerms,,,,,,,,,,
DAPsAccessCompleteness,OntologyTerms,,,,,,,,,,
DAPsAccessLevels,OntologyTerms,,,,,,,,,,
DAPsAccessPermissions,OntologyTerms,,,,,,,,,,
DAPsReasonsForAccess,OntologyTerms,,,,,,,,,,
CareSettings,OntologyTerms,,,,,,,,,,
DatabankFamilies,OntologyTerms,,,,,,,,,,
LinkageStrategies,OntologyTerms,,,,,,,,,,
PopulationEntryCauses,OntologyTerms,,,,,,,,,,
PopulationExitCauses,OntologyTerms,,,,,,,,,,
AgeGroups,OntologyTerms,,,,,,,,,,
InformedConsents,OntologyTerms,,,,,,,,,,
Months,OntologyTerms,,,,,,,,,,
Languages,OntologyTerms,,,,,,,,,,
InstitutionRoles,OntologyTerms,,,,,,,,,,
Years,OntologyTerms,,,,,,,,,,
Titles,OntologyTerms,,,,,,,,,,
DatasourceTypes,OntologyTerms,,,,,,,,,,
StudyTypes,OntologyTerms,,,,,,,,,,
StandardizedTools,OntologyTerms,,,,,,,,,,
